year,state,abbr,class,race_type,round,caption,results,total_votes,winner,runner_up,color,source_url
2004,Alabama,AL,III,regular,General,2004 United States Senate election in Alabama,"{""Richard Shelby"": {""party"": ""Republican"", ""votes"": 1242200, ""pct"": 67.55}, ""Wayne Sowell"": {""party"": ""Democratic"", ""votes"": 595018, ""pct"": 32.35}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1848, ""pct"": 0.1}}",1839066,Richard Shelby,Wayne Sowell,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Alabama
2004,Alaska,AK,III,regular,General,2004 United States Senate election in Alaska,"{""Lisa Murkowski"": {""party"": ""Republican"", ""votes"": 149773, ""pct"": 48.58}, ""Tony Knowles"": {""party"": ""Democratic"", ""votes"": 140424, ""pct"": 45.55}, ""Majority"": {""party"": ""Majority"", ""votes"": 9349, ""pct"": 3.03}, ""Marc J. Millican"": {""party"": ""Independent"", ""votes"": 8885, ""pct"": 2.88}, ""Jerry Sanders"": {""party"": ""Independence"", ""votes"": 3785, ""pct"": 1.23}, ""Jim Sykes"": {""party"": ""Green"", ""votes"": 3053, ""pct"": 0.99}, ""Scott A. Kohlhaas"": {""party"": ""Libertarian"", ""votes"": 1240, ""pct"": 0.4}, ""Ted Gianoutsas"": {""party"": ""Independent"", ""votes"": 732, ""pct"": 0.24}, ""423"": {""party"": ""Write-ins"", ""votes"": 423, ""pct"": 0.14}}",317664,Lisa Murkowski,Tony Knowles,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Alaska
2004,Arizona,AZ,III,regular,General,General election results,"{""John McCain"": {""party"": ""Republican"", ""votes"": 1505372, ""pct"": 76.74}, ""Majority"": {""party"": ""Majority"", ""votes"": 1100865, ""pct"": 56.12}, ""Stuart Starky"": {""party"": ""Democratic"", ""votes"": 404507, ""pct"": 20.62}, ""Ernest Hancock"": {""party"": ""Libertarian"", ""votes"": 51798, ""pct"": 2.64}}",3062542,John McCain,Majority,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Arizona
2004,Arkansas,AR,III,regular,General,Arkansas Senate election 2004,"{""Blanche Lincoln"": {""party"": ""Democratic"", ""votes"": 580973, ""pct"": 55.9}, ""Jim Holt"": {""party"": ""Republican"", ""votes"": 458036, ""pct"": 44.07}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 340, ""pct"": 0.03}}",1039349,Blanche Lincoln,Jim Holt,deepskyblue,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Arkansas
2004,California,CA,III,regular,General,"2004 United States Senate election, California","{""Barbara Boxer"": {""party"": ""Democratic"", ""votes"": 6955728, ""pct"": 57.71}, ""Bill Jones"": {""party"": ""Republican"", ""votes"": 4555922, ""pct"": 37.8}, ""Invalid or blank votes"": {""party"": ""Invalid or blank votes"", ""votes"": 536388, ""pct"": 4.26}, ""Marsha Feinland"": {""party"": ""Peace and Freedom"", ""votes"": 243846, ""pct"": 2.02}, ""James P. \""Jim\"" Gray"": {""party"": ""Libertarian"", ""votes"": 216522, ""pct"": 1.8}, ""Don J. Grundmann"": {""party"": ""American Independent"", ""votes"": 81244, ""pct"": 0.67}, ""Dennis Richter"": {""party"": ""No party"", ""votes"": 43, ""pct"": 0.0}, ""Howard Johnson"": {""party"": ""No party"", ""votes"": 8, ""pct"": 0.0}, ""John Emery Jones"": {""party"": ""No party"", ""votes"": 2, ""pct"": 0.0}}",12589703,Barbara Boxer,Bill Jones,deepskyblue,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_California
2004,Colorado,CO,III,regular,General,General election results,"{""Ken Salazar"": {""party"": ""Democratic"", ""votes"": 1081188, ""pct"": 51.3}, ""Pete Coors"": {""party"": ""Republican"", ""votes"": 980668, ""pct"": 46.53}, ""Majority"": {""party"": ""Majority"", ""votes"": 100520, ""pct"": 4.77}, ""Douglas Campbell"": {""party"": ""Constitution"", ""votes"": 18783, ""pct"": 0.89}, ""Richard Randall"": {""party"": ""Libertarian"", ""votes"": 10160, ""pct"": 0.48}, ""John R. Harris"": {""party"": ""Independent"", ""votes"": 8442, ""pct"": 0.4}, ""Victor Good"": {""party"": ""Reform"", ""votes"": 6481, ""pct"": 0.31}, ""Finn Gotaas"": {""party"": ""Independent"", ""votes"": 1750, ""pct"": 0.08}}",2207992,Ken Salazar,Pete Coors,deepskyblue,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Colorado
2004,Connecticut,CT,III,regular,General,General election results,"{""Chris Dodd"": {""party"": ""Democratic"", ""votes"": 945347, ""pct"": 66.35}, ""Jack Orchulli"": {""party"": ""Republican"", ""votes"": 457749, ""pct"": 32.13}, ""Timothy Knibbs"": {""party"": ""Concerned Citizens"", ""votes"": 12442, ""pct"": 0.87}, ""Leonard Rasch"": {""party"": ""Libertarian"", ""votes"": 9188, ""pct"": 0.64}}",1424726,Chris Dodd,Jack Orchulli,deepskyblue,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Connecticut
2004,Florida,FL,III,regular,General,"United States Senate election in Florida, 2004","{""166,829"": {""party"": """", ""votes"": 7429894, ""pct"": NaN}, ""Melquíades Rafael Martínez Ruiz"": {""party"": ""Republican"", ""votes"": 3672864, ""pct"": 49.43}, ""Elizabeth Castor"": {""party"": ""Democratic"", ""votes"": 3590201, ""pct"": 48.32}, ""13,202"": {""party"": """", ""votes"": 747551, ""pct"": NaN}, ""13,780"": {""party"": """", ""votes"": 687774, ""pct"": NaN}, ""9,566"": {""party"": """", ""votes"": 528050, ""pct"": NaN}, ""12,379"": {""party"": """", ""votes"": 464470, ""pct"": NaN}, ""10,261"": {""party"": """", ""votes"": 447890, ""pct"": NaN}, ""7,081"": {""party"": """", ""votes"": 382751, ""pct"": NaN}, ""6,160"": {""party"": """", ""votes"": 374909, ""pct"": NaN}, ""7,682"": {""party"": """", ""votes"": 261553, ""pct"": NaN}, ""4,531"": {""party"": """", ""votes"": 233389, ""pct"": NaN}, ""6,174"": {""party"": """", ""votes"": 225138, ""pct"": NaN}, ""6,051"": {""party"": """", ""votes"": 208056, ""pct"": NaN}, ""3,455"": {""party"": """", ""votes"": 190531, ""pct"": NaN}, ""6,044"": {""party"": """", ""votes"": 186205, ""pct"": NaN}, ""3,914"": {""party"": """", ""votes"": 183391, ""pct"": NaN}, ""Dennis F. Bradley"": {""party"": ""Veterans"", ""votes"": 166642, ""pct"": 2.24}, ""3,699"": {""party"": """", ""votes"": 141323, ""pct"": NaN}, ""2,632"": {""party"": """", ""votes"": 139693, ""pct"": NaN}, ""3,799"": {""party"": """", ""votes"": 138143, ""pct"": NaN}, ""1,691"": {""party"": """", ""votes"": 133324, ""pct"": NaN}, ""1,934"": {""party"": """", ""votes"": 124214, ""pct"": NaN}, ""3,319"": {""party"": """", ""votes"": 121379, ""pct"": NaN}, ""1,802"": {""party"": """", ""votes"": 108685, ""pct"": NaN}, ""2,905"": {""party"": """", ""votes"": 98001, ""pct"": NaN}, ""2,413"": {""party"": """", ""votes"": 87204, ""pct"": NaN}, ""1,420"": {""party"": """", ""votes"": 84990, ""pct"": NaN}, ""Majority"": {""party"": ""Majority"", ""votes"": 82663, ""pct"": 1.11}, ""2,296"": {""party"": """", ""votes"": 80968, ""pct"": NaN}, ""1,503"": {""party"": """", ""votes"": 80465, ""pct"": NaN}, ""3,143"": {""party"": """", ""votes"": 79334, ""pct"": NaN}, ""1,729"": {""party"": """", ""votes"": 77645, ""pct"": NaN}, ""1,564"": {""party"": """", ""votes"": 73393, ""pct"": NaN}, ""1,579"": {""party"": """", ""votes"": 70523, ""pct"": NaN}, ""2,742"": {""party"": """", ""votes"": 68439, ""pct"": NaN}, ""1,524"": {""party"": """", ""votes"": 65838, ""pct"": NaN}, ""1,543"": {""party"": """", ""votes"": 59392, ""pct"": NaN}, ""1,278"": {""party"": """", ""votes"": 40800, ""pct"": NaN}, ""1,267"": {""party"": """", ""votes"": 38303, ""pct"": NaN}, ""904"": {""party"": """", ""votes"": 38010, ""pct"": NaN}, ""595"": {""party"": """", ""votes"": 32007, ""pct"": NaN}, ""656"": {""party"": """", ""votes"": 31429, ""pct"": NaN}, ""876"": {""party"": """", ""votes"": 30518, ""pct"": NaN}, ""726"": {""party"": """", ""votes"": 24520, ""pct"": NaN}, ""585"": {""party"": """", ""votes"": 23393, ""pct"": NaN}, ""316"": {""party"": """", ""votes"": 20792, ""pct"": NaN}, ""395"": {""party"": """", ""votes"": 19449, ""pct"": NaN}, ""219"": {""party"": """", ""votes"": 17773, ""pct"": NaN}, ""497"": {""party"": """", ""votes"": 16361, ""pct"": NaN}, ""397"": {""party"": """", ""votes"": 15561, ""pct"": NaN}, ""496"": {""party"": """", ""votes"": 11919, ""pct"": NaN}, ""331"": {""party"": """", ""votes"": 11619, ""pct"": NaN}, ""270"": {""party"": """", ""votes"": 10742, ""pct"": NaN}, ""242"": {""party"": """", ""votes"": 10108, ""pct"": NaN}, ""186"": {""party"": """", ""votes"": 9854, ""pct"": NaN}, ""295"": {""party"": """", ""votes"": 9320, ""pct"": NaN}, ""241"": {""party"": """", ""votes"": 8454, ""pct"": NaN}, ""342"": {""party"": """", ""votes"": 8064, ""pct"": NaN}, ""145"": {""party"": """", ""votes"": 7371, ""pct"": NaN}, ""307"": {""party"": """", ""votes"": 7137, ""pct"": NaN}, ""180"": {""party"": """", ""votes"": 7124, ""pct"": NaN}, ""258"": {""party"": """", ""votes"": 6896, ""pct"": NaN}, ""250"": {""party"": """", ""votes"": 6307, ""pct"": NaN}, ""175"": {""party"": """", ""votes"": 5834, ""pct"": NaN}, ""150"": {""party"": """", ""votes"": 5742, ""pct"": NaN}, ""127"": {""party"": """", ""votes"": 4930, ""pct"": NaN}, ""93"": {""party"": """", ""votes"": 4599, ""pct"": NaN}, ""149"": {""party"": """", ""votes"": 4117, ""pct"": NaN}, ""82"": {""party"": """", ""votes"": 3240, ""pct"": NaN}, ""63"": {""party"": """", ""votes"": 2970, ""pct"": NaN}, ""187"": {""party"": ""Write-ins"", ""votes"": 187, ""pct"": 0.0}}",22392325,"166,829",Melquíades Rafael Martínez Ruiz,yellow,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Florida
2004,Georgia,GA,III,regular,General,"2004 United States Senate election, Georgia","{""Johnny Isakson"": {""party"": ""Republican"", ""votes"": 1864205, ""pct"": 57.88}, ""Denise Majette"": {""party"": ""Democratic"", ""votes"": 1287695, ""pct"": 39.98}, ""Majority"": {""party"": ""Majority"", ""votes"": 576510, ""pct"": 17.9}, ""Allen Buckley"": {""party"": ""Libertarian"", ""votes"": 69051, ""pct"": 2.14}}",3797461,Johnny Isakson,Denise Majette,red,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Georgia
2004,Hawaii,HI,III,regular,General,Generale election results,"{""Daniel Inouye"": {""party"": ""Democratic"", ""votes"": 313629, ""pct"": 75.51}, ""Campbell Cavasso"": {""party"": ""Republican"", ""votes"": 87172, ""pct"": 20.99}, ""Jim Brewer"": {""party"": ""Independent"", ""votes"": 9269, ""pct"": 2.23}, ""Lloyd Jeffrey Mallan"": {""party"": ""Libertarian"", ""votes"": 5277, ""pct"": 1.27}}",415347,Daniel Inouye,Campbell Cavasso,deepskyblue,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Hawaii
