year,state,abbr,class,race_type,round,caption,results,winner,runner_up,color,source_url
2012,Arizona,AZ,I,regular,General,"United States Senate election in Arizona, 2012","{""Jeff Flake"": {""party"": ""Republican"", ""votes"": 1104457, ""pct"": 49.23}, ""Richard Carmona"": {""party"": ""Democratic"", ""votes"": 1036542, ""pct"": 46.2}, ""Marc J. Victor"": {""party"": ""Libertarian"", ""votes"": 102109, ""pct"": 4.55}, ""Steven Watts (write-in)"": {""party"": ""Independent"", ""votes"": 290, ""pct"": 0.01}, ""Don Manspeaker (write-in)"": {""party"": ""Independent"", ""votes"": 24, ""pct"": 0.0}}",Jeff Flake,Richard Carmona,red,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Arizona
2012,California,CA,I,regular,General,"Survey USA poll of 1,232 likely voters, May 27–29, 2012. MoE: ±2.8%","{""Dianne Feinstein (incumbent)"": {""party"": ""Democratic"", ""votes"": 7864624, ""pct"": 62.52}, ""Elizabeth Emken"": {""party"": ""Republican"", ""votes"": 4713887, ""pct"": 37.48}, ""Undecided"": {""party"": ""n/a"", ""votes"": 30, ""pct"": 30.0}, ""Dan Hughes"": {""party"": ""Republican"", ""votes"": 4, ""pct"": 4.0}, ""Rick Williams"": {""party"": ""Republican"", ""votes"": 3, ""pct"": 3.0}, ""Al Ramirez"": {""party"": ""Republican"", ""votes"": 3, ""pct"": 3.0}, ""Donald Krampe"": {""party"": ""Republican"", ""votes"": 2, ""pct"": 2.0}, ""Diane Stewart"": {""party"": ""Democratic"", ""votes"": 2, ""pct"": 2.0}, ""David Alex Levitt"": {""party"": ""Democratic"", ""votes"": 2, ""pct"": 2.0}, ""Gail Lightfoot"": {""party"": ""Libertarian"", ""votes"": 2, ""pct"": 2.0}, ""Orly Taitz"": {""party"": ""Republican"", ""votes"": 1, ""pct"": 1.0}, ""Greg Conlon"": {""party"": ""Republican"", ""votes"": 1, ""pct"": 1.0}, ""Robert Lauten"": {""party"": ""Republican"", ""votes"": 1, ""pct"": 1.0}, ""Nachum Shifren"": {""party"": ""Republican"", ""votes"": 1, ""pct"": 1.0}, ""Dennis Jackson"": {""party"": ""Republican"", ""votes"": 1, ""pct"": 1.0}, ""John Boruff"": {""party"": ""Republican"", ""votes"": 1, ""pct"": 1.0}, ""Dirk Allen Konopik"": {""party"": ""Republican"", ""votes"": 1, ""pct"": 1.0}, ""Colleen Shea Fernald"": {""party"": ""Democratic"", ""votes"": 1, ""pct"": 1.0}, ""Mike Strimling"": {""party"": ""Democratic"", ""votes"": 1, ""pct"": 1.0}, ""Marsha Feinland"": {""party"": ""Peace and Freedom"", ""votes"": 1, ""pct"": 1.0}, ""Don J. Grundmann"": {""party"": ""American Independent"", ""votes"": 1, ""pct"": 1.0}, ""Oscar Alejandro Braun"": {""party"": ""Republican"", ""votes"": 0, ""pct"": 0.0}, ""Kabiruddin Karim Ali"": {""party"": ""Peace and Freedom"", ""votes"": 0, ""pct"": 0.0}, ""Nak Shah"": {""party"": ""Democratic"", ""votes"": 0, ""pct"": 0.0}, ""Rogelio T. Gloria"": {""party"": ""Republican"", ""votes"": 0, ""pct"": 0.0}}",Dianne Feinstein (incumbent),Elizabeth Emken,blue,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_California
2012,Connecticut,CT,I,regular,General,"United States Senate election in Connecticut, 2012","{""Chris Murphy"": {""party"": ""Total"", ""votes"": 828761, ""pct"": 54.82}, ""Linda McMahon"": {""party"": ""Total"", ""votes"": 651089, ""pct"": 43.07}, ""Paul Passarelli"": {""party"": ""Libertarian"", ""votes"": 25045, ""pct"": 1.66}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 6869, ""pct"": 0.45}}",Chris Murphy,Linda McMahon,yellow,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Connecticut
2012,Delaware,DE,I,regular,General,"United States Senate election in Delaware, 2012","{""Tom Carper (incumbent)"": {""party"": ""Democratic"", ""votes"": 265415, ""pct"": 66.42}, ""Kevin Wade"": {""party"": ""Republican"", ""votes"": 115700, ""pct"": 28.95}, ""Alex Pires"": {""party"": ""Independent Party"", ""votes"": 15300, ""pct"": 3.83}, ""Andrew Groff"": {""party"": ""Green"", ""votes"": 3191, ""pct"": 0.8}}",Tom Carper (incumbent),Kevin Wade,blue,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Delaware
2012,Florida,FL,I,regular,General,"United States Senate election in Florida, 2012","{""Bill Nelson (incumbent)"": {""party"": ""Democratic"", ""votes"": 4523451, ""pct"": 55.23}, ""Connie Mack IV"": {""party"": ""Republican"", ""votes"": 3458267, ""pct"": 42.23}, ""Bill Gaylor"": {""party"": ""Independent"", ""votes"": 126079, ""pct"": 1.54}, ""Chris Borgia"": {""party"": ""Independent"", ""votes"": 82089, ""pct"": 1.0}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 60, ""pct"": 0.0}}",Bill Nelson (incumbent),Connie Mack IV,blue,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Florida
2012,Hawaii,HI,I,regular,General,"United States Senate election in Hawaii, 2012","{""Mazie Hirono"": {""party"": ""Democratic"", ""votes"": 269489, ""pct"": 62.6}, ""Linda Lingle"": {""party"": ""Republican"", ""votes"": 160994, ""pct"": 37.4}}",Mazie Hirono,Linda Lingle,blue,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Hawaii
2012,Indiana,IN,I,regular,General,"United States Senate election in Indiana, 2012","{""Joe Donnelly"": {""party"": ""Democratic"", ""votes"": 1281181, ""pct"": 50.04}, ""Richard Mourdock"": {""party"": ""Republican"", ""votes"": 1133621, ""pct"": 44.28}, ""Andy Horning"": {""party"": ""Libertarian"", ""votes"": 145282, ""pct"": 5.68}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 18, ""pct"": 0.0}}",Joe Donnelly,Richard Mourdock,blue,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Indiana
2012,Maine,ME,I,regular,General,"United States Senate election in Maine, 2012","{""Angus King"": {""party"": ""Independent"", ""votes"": 370580, ""pct"": 52.89}, ""Charlie Summers"": {""party"": ""Republican"", ""votes"": 215399, ""pct"": 30.75}, ""Cynthia Dill"": {""party"": ""Democratic"", ""votes"": 92900, ""pct"": 13.26}, ""Danny Dalton"": {""party"": ""Independent"", ""votes"": 5807, ""pct"": 0.83}, ""Andrew Ian Dodge"": {""party"": ""Independent"", ""votes"": 5624, ""pct"": 0.8}}",Angus King,Charlie Summers,yellow,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Maine
2012,Maryland,MD,I,regular,General,2012 United States Senate election in Maryland,"{""Ben Cardin (incumbent)"": {""party"": ""Democratic"", ""votes"": 1474028, ""pct"": 55.98}, ""Dan Bongino"": {""party"": ""Republican"", ""votes"": 693291, ""pct"": 26.33}, ""Rob Sobhani"": {""party"": ""Independent"", ""votes"": 430934, ""pct"": 16.37}, ""Dean Ahmad"": {""party"": ""Libertarian"", ""votes"": 32252, ""pct"": 1.22}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 2729, ""pct"": 0.1}}",Ben Cardin (incumbent),Dan Bongino,blue,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Maryland
2012,Massachusetts,MA,I,regular,General,Democratic convention vote,"{""Elizabeth Warren"": {""party"": ""Democratic"", ""votes"": 1696346, ""pct"": 53.74}, ""Scott Brown (incumbent)"": {""party"": ""Republican"", ""votes"": 1458048, ""pct"": 46.19}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 2159, ""pct"": 0.07}, ""Marisa DeFranco"": {""party"": ""Democratic"", ""votes"": 148, ""pct"": 4.23}}",Elizabeth Warren,Scott Brown (incumbent),blue,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Massachusetts
