year,state,abbr,class,race_type,round,caption,D_votes,R_votes,T_votes,D_share,R_share,D_candidate,R_candidate,winner,winner_party,runner_up,top_third_party_share,top_third_party,third_party_votes,total_votes,third_party_results,D_delta,R_delta,total_delta,sen_margin,sen_margin_delta,national_margin,national_margin_delta,relative_margin,relative_margin_delta,third_party_share,third_party_national_share,third_party_relative_share,two_party_margin,two_party_margin_delta,two_party_national_margin,two_party_national_margin_delta,two_party_relative_margin,two_party_relative_margin_delta,color,sen_margin_str,sen_margin_delta_str,national_margin_str,national_margin_delta_str,relative_margin_str,relative_margin_delta_str,top_third_party_share_str,third_party_share_str,third_party_national_share_str,third_party_relative_share_str,two_party_margin_str,two_party_margin_delta_str,two_party_national_margin_str,two_party_national_margin_delta_str,two_party_relative_margin_str,two_party_relative_margin_delta_str,top_third_party_votes,special_case_notes,source_url,results_json
1976,United States,NATIONAL,,national,Aggregate,National aggregate,31797880,24562431,2316876,0.537371372727433,0.4150951970380684,Democratic total,Republican total,Democratic Party,D,Republican Party,0.0,Various,2316876,59173007,{},0,0,0,0.122276175689,0,0.122276175689,0,0.000000000000,0,0.0391542718118077,0.0391542718118077,0.0,0.1283784434759418,0.0,0.1283784434759418,0.0,0.0,0.0,transparent,D+12.2,0,D+12.2,0,EVEN,0,0.00%,3.92%,3.92%,0.00%,D+12.8,0,D+12.8,0,EVEN,0,0,,,{}
1976,Arizona,AZ,I,regular,Gen,,400334,321236,19640,0.5401087411125052,0.4333940448725732,DENNIS DECONCINI,SAM STEIGER,DENNIS DECONCINI,D,,0.014523549331498496,BOB FIELD,19640,741210,"{""WM. MATHEWS FEIGHAN"": {""party"": ""INDEPENDENT"", ""votes"": 1565, ""pct"": 0.002111412420231783}, ""ALLAN NORWITZ"": {""party"": ""LIBERTARIAN"", ""votes"": 7310, ""pct"": 0.009862252263191268}, ""BOB FIELD"": {""party"": ""INDEPENDENT"", ""votes"": 10765, ""pct"": 0.014523549331498496}}",0,0,0,0.106714696240,0,0.122276175689,0,-0.015561479449,0,0.026497214014921548,0.0391542718118077,-0.012657057796886154,0.10961930235458792,0.0,0.1283784434759418,0.0,-0.01875914112135388,0.0,deepskyblue,D+10.7,0,D+12.2,0,R+1.6,0,1.45%,2.65%,3.92%,-1.27%,D+11.0,0,D+12.8,0,R+1.9,0,10765,,,"{""SAM STEIGER"": {""votes"": 321236, ""party"": ""REPUBLICAN"", ""pct"": 0.4333940448725732}, ""WM. MATHEWS FEIGHAN"": {""votes"": 1565, ""party"": ""INDEPENDENT"", ""pct"": 0.002111412420231783}, ""DENNIS DECONCINI"": {""votes"": 400334, ""party"": ""DEMOCRAT"", ""pct"": 0.5401087411125052}, ""ALLAN NORWITZ"": {""votes"": 7310, ""party"": ""LIBERTARIAN"", ""pct"": 0.009862252263191268}, ""BOB FIELD"": {""votes"": 10765, ""party"": ""INDEPENDENT"", ""pct"": 0.014523549331498496}}"
1976,California,CA,I,regular,Gen,,3502862,3748973,218751,0.46888717966703014,0.5018311816502748,JOHN V. TUNNEY,S. I. (SAM) HAYAKAWA,S. I. (SAM) HAYAKAWA,R,,0.013972531739812647,DAVID WALD,218751,7470586,"{""JACK MCCOY"": {""party"": ""AMERICAN INDEPENDENT"", ""votes"": 82739, ""pct"": 0.011075302526468472}, ""OMARI MUSA"": {""party"": ""INDEPENDENT"", ""votes"": 31629, ""pct"": 0.00423380441641392}, ""DAVID WALD"": {""party"": ""PEACE AND FREEDOM"", ""votes"": 104383, ""pct"": 0.013972531739812647}}",0,0,0,-0.032944001983,0,0.122276175689,0,-0.155220177673,0,0.029281638682695038,0.0391542718118077,-0.009872633129112664,-0.03393775506475258,0.0,0.1283784434759418,0.0,-0.16231619854069437,0.0,red,R+3.3,0,D+12.2,0,R+15.5,0,1.40%,2.93%,3.92%,-0.99%,R+3.4,0,D+12.8,0,R+16.2,0,104383,,,"{""JACK MCCOY"": {""votes"": 82739, ""party"": ""AMERICAN INDEPENDENT"", ""pct"": 0.011075302526468472}, ""S. I. (SAM) HAYAKAWA"": {""votes"": 3748973, ""party"": ""REPUBLICAN"", ""pct"": 0.5018311816502748}, ""JOHN V. TUNNEY"": {""votes"": 3502862, ""party"": ""DEMOCRAT"", ""pct"": 0.46888717966703014}, ""OMARI MUSA"": {""votes"": 31629, ""party"": ""INDEPENDENT"", ""pct"": 0.00423380441641392}, ""DAVID WALD"": {""votes"": 104383, ""party"": ""PEACE AND FREEDOM"", ""pct"": 0.013972531739812647}}"
1976,Connecticut,CT,I,regular,Gen,,561018,785683,14965,0.41200852485117495,0.5770012616897242,GLORIA SCHAFFER,"LOWELL P. WEICKER, JR.","LOWELL P. WEICKER, JR.",R,,0.010580421336803592,ROBERT BARNABEI,14965,1361666,"{""SCATTER"": {""party"": ""OTHER"", ""votes"": 558, ""pct"": 0.0004097921222972447}, ""ROBERT BARNABEI"": {""party"": ""AMERICAN INDEPENDENT"", ""votes"": 14407, ""pct"": 0.010580421336803592}}",0,0,0,-0.164992736839,0,0.122276175689,0,-0.287268912528,0,0.010990213459100838,0.0391542718118077,-0.028164058352706862,-0.166826192302523,0.0,0.1283784434759418,0.0,-0.2952046357784648,0.0,red,R+16.5,0,D+12.2,0,R+28.7,0,1.06%,1.10%,3.92%,-2.82%,R+16.7,0,D+12.8,0,R+29.5,0,14407,,,"{""LOWELL P. WEICKER, JR."": {""votes"": 785683, ""party"": ""REPUBLICAN"", ""pct"": 0.5770012616897242}, ""SCATTER"": {""votes"": 558, ""party"": ""OTHER"", ""pct"": 0.0004097921222972447}, ""ROBERT BARNABEI"": {""votes"": 14407, ""party"": ""AMERICAN INDEPENDENT"", ""pct"": 0.010580421336803592}, ""GLORIA SCHAFFER"": {""votes"": 561018, ""party"": ""DEMOCRAT"", ""pct"": 0.41200852485117495}}"
1976,Delaware,DE,I,regular,Gen,,98042,125454,1299,0.43613959385217643,0.5580818078693921,THOMAS C. MALONEY,"WILLIAM V. ROTH, JR.","WILLIAM V. ROTH, JR.",R,,0.0028737293978958606,DONALD G. GIES,1299,224795,"{""DONALD G. GIES"": {""party"": ""AMERICAN"", ""votes"": 646, ""pct"": 0.0028737293978958606}, ""JOHN A. MASSIMILLA"": {""party"": ""PROHIBITION"", ""votes"": 216, ""pct"": 0.0009608754643119287}, ""JOSEPH F. MCINERNEY"": {""party"": ""NONE"", ""votes"": 437, ""pct"": 0.0019439934162236705}}",0,0,0,-0.121942214017,0,0.122276175689,0,-0.244218389707,0,0.0057785982784314596,0.0391542718118077,-0.03337567353337624,-0.12265096467050865,0.0,0.1283784434759418,0.0,-0.2510294081464505,0.0,red,R+12.2,0,D+12.2,0,R+24.4,0,0.29%,0.58%,3.92%,-3.34%,R+12.3,0,D+12.8,0,R+25.1,0,646,,,"{""THOMAS C. MALONEY"": {""votes"": 98042, ""party"": ""DEMOCRAT"", ""pct"": 0.43613959385217643}, ""WILLIAM V. ROTH, JR."": {""votes"": 125454, ""party"": ""REPUBLICAN"", ""pct"": 0.5580818078693921}, ""DONALD G. GIES"": {""votes"": 646, ""party"": ""AMERICAN"", ""pct"": 0.0028737293978958606}, ""JOHN A. MASSIMILLA"": {""votes"": 216, ""party"": ""PROHIBITION"", ""pct"": 0.0009608754643119287}, ""JOSEPH F. MCINERNEY"": {""votes"": 437, ""party"": ""NONE"", ""pct"": 0.0019439934162236705}}"
1976,Florida,FL,I,regular,Gen,,1799518,1057886,130,0.6297450878974669,0.37020941833063054,LAWTON CHILES,JOHN GRADY,LAWTON CHILES,D,,4.5493771902626534e-05,SCATTER,130,2857534,"{""SCATTER"": {""party"": ""OTHER"", ""votes"": 130, ""pct"": 4.5493771902626534e-05}}",0,0,0,0.259535669567,0,0.122276175689,0,0.137259493877,0,4.5493771902626534e-05,0.0391542718118077,-0.039108778039905076,0.25954747736056927,0.0,0.1283784434759418,0.0,0.13116903388462747,0.0,deepskyblue,D+26.0,0,D+12.2,0,D+13.7,0,0.00%,0.00%,3.92%,-3.91%,D+26.0,0,D+12.8,0,D+13.1,0,130,,,"{""LAWTON CHILES"": {""votes"": 1799518, ""party"": ""DEMOCRAT"", ""pct"": 0.6297450878974669}, ""SCATTER"": {""votes"": 130, ""party"": ""OTHER"", ""pct"": 4.5493771902626534e-05}, ""JOHN GRADY"": {""votes"": 1057886, ""party"": ""REPUBLICAN"", ""pct"": 0.37020941833063054}}"
1976,Hawaii,HI,I,regular,Gen,,162305,122724,17063,0.5372701031473855,0.40624710353137455,SPARK M. MATSUNAGA,WILLIAM QUINN,SPARK M. MATSUNAGA,D,,0.04709161447506058,ANTHONY N. HODGES,17063,302092,"{""JAMES D. KIMMEL"": {""party"": ""INDEPENDENT"", ""votes"": 1433, ""pct"": 0.004743588046025714}, ""ANTHONY N. HODGES"": {""party"": ""PROHIBITION"", ""votes"": 14226, ""pct"": 0.04709161447506058}, ""ROCKNE JOHNSON"": {""party"": ""LIBERTARIAN"", ""votes"": 1404, ""pct"": 0.004647590800153595}}",0,0,0,0.131022999616,0,0.122276175689,0,0.008746823927,0,0.056482793321239885,0.0391542718118077,0.017328521509432183,0.1388665714716748,0.0,0.1283784434759418,0.0,0.01048812799573301,0.0,deepskyblue,D+13.1,0,D+12.2,0,D+0.9,0,4.71%,5.65%,3.92%,1.73%,D+13.9,0,D+12.8,0,D+1.0,0,14226,,,"{""SPARK M. MATSUNAGA"": {""votes"": 162305, ""party"": ""DEMOCRAT"", ""pct"": 0.5372701031473855}, ""JAMES D. KIMMEL"": {""votes"": 1433, ""party"": ""INDEPENDENT"", ""pct"": 0.004743588046025714}, ""WILLIAM QUINN"": {""votes"": 122724, ""party"": ""REPUBLICAN"", ""pct"": 0.40624710353137455}, ""ANTHONY N. HODGES"": {""votes"": 14226, ""party"": ""PROHIBITION"", ""pct"": 0.04709161447506058}, ""ROCKNE JOHNSON"": {""votes"": 1404, ""party"": ""LIBERTARIAN"", ""pct"": 0.004647590800153595}}"
1976,Indiana,IN,I,regular,Gen,,868522,1275833,16832,0.40187267459965287,0.5903390127739987,VANCE HARTKE,RICHARD G. LUGAR,RICHARD G. LUGAR,R,,0.006626451112282278,DON L. LEE,16832,2161187,"{""DON L. LEE"": {""party"": ""INDEPENDENT"", ""votes"": 14321, ""pct"": 0.006626451112282278}, ""DAVID LEE HOAGLAND"": {""party"": ""U.S. LABOR"", ""votes"": 2511, ""pct"": 0.0011618615140661127}}",0,0,0,-0.188466338174,0,0.122276175689,0,-0.310742513864,0,0.007788312626348391,0.0391542718118077,-0.03136595918545931,-0.189945694626123,0.0,0.1283784434759418,0.0,-0.31832413810206484,0.0,red,R+18.8,0,D+12.2,0,R+31.1,0,0.66%,0.78%,3.92%,-3.14%,R+19.0,0,D+12.8,0,R+31.8,0,14321,,,"{""RICHARD G. LUGAR"": {""votes"": 1275833, ""party"": ""REPUBLICAN"", ""pct"": 0.5903390127739987}, ""VANCE HARTKE"": {""votes"": 868522, ""party"": ""DEMOCRAT"", ""pct"": 0.40187267459965287}, ""DON L. LEE"": {""votes"": 14321, ""party"": ""INDEPENDENT"", ""pct"": 0.006626451112282278}, ""DAVID LEE HOAGLAND"": {""votes"": 2511, ""party"": ""U.S. LABOR"", ""pct"": 0.0011618615140661127}}"
1976,Massachusetts,MA,I,regular,Gen,,1726657,722641,41957,0.6930872190923851,0.2900710685979557,EDWARD M. KENNEDY,MICHAEL S. ROBERTSON,EDWARD M. KENNEDY,D,,0.010550104264717983,CAROL HENDERSON EVANS,41957,2491255,"{""CAROL HENDERSON EVANS"": {""party"": ""SOCIALIST WORKERS"", ""votes"": 26283, ""pct"": 0.010550104264717983}, ""SCATTER"": {""party"": ""OTHER"", ""votes"": 157, ""pct"": 6.302044551842344e-05}, ""H. GRAHAM LOWRY"": {""party"": ""U.S. LABOR"", ""votes"": 15517, ""pct"": 0.006228587599422781}}",0,0,0,0.403016150494,0,0.122276175689,0,0.280739974805,0,0.01684171230965919,0.0391542718118077,-0.022312559502148513,0.40991990358053615,0.0,0.1283784434759418,0.0,0.28154146010459435,0.0,deepskyblue,D+40.3,0,D+12.2,0,D+28.1,0,1.06%,1.68%,3.92%,-2.23%,D+41.0,0,D+12.8,0,D+28.2,0,26283,,,"{""CAROL HENDERSON EVANS"": {""votes"": 26283, ""party"": ""SOCIALIST WORKERS"", ""pct"": 0.010550104264717983}, ""SCATTER"": {""votes"": 157, ""party"": ""OTHER"", ""pct"": 6.302044551842344e-05}, ""MICHAEL S. ROBERTSON"": {""votes"": 722641, ""party"": ""REPUBLICAN"", ""pct"": 0.2900710685979557}, ""H. GRAHAM LOWRY"": {""votes"": 15517, ""party"": ""U.S. LABOR"", ""pct"": 0.006228587599422781}, ""EDWARD M. KENNEDY"": {""votes"": 1726657, ""party"": ""DEMOCRAT"", ""pct"": 0.6930872190923851}}"
1976,Maryland,MD,I,regular,Gen,,772101,530439,62750,0.5655216107933113,0.3885174578294721,PAUL S. SARBANES,"J. GLENN BEALL, JR.",PAUL S. SARBANES,D,,0.04596093137721656,BRUCE BRADLEY,62750,1365290,"{""BRUCE BRADLEY"": {""party"": ""INDEPENDENT"", ""votes"": 62750, ""pct"": 0.04596093137721656}}",0,0,0,0.177004152964,0,0.122276175689,0,0.054727977274,0,0.04596093137721656,0.0391542718118077,0.006806659565408858,0.1855313464461744,0.0,0.1283784434759418,0.0,0.057152902970232594,0.0,deepskyblue,D+17.7,0,D+12.2,0,D+5.5,0,4.60%,4.60%,3.92%,0.68%,D+18.6,0,D+12.8,0,D+5.7,0,62750,,,"{""J. GLENN BEALL, JR."": {""votes"": 530439, ""party"": ""REPUBLICAN"", ""pct"": 0.3885174578294721}, ""PAUL S. SARBANES"": {""votes"": 772101, ""party"": ""DEMOCRAT"", ""pct"": 0.5655216107933113}, ""BRUCE BRADLEY"": {""votes"": 62750, ""party"": ""INDEPENDENT"", ""pct"": 0.04596093137721656}}"
